EventId,EventTemplate,Occurrences
0,"<*> <*> <*> HTTP/1.1"" status: 200 len: <*> time: <*>",1791
1,[instance: 3edec1e4-9678-4a3a-a21b-a145a4ee5e61] Creating image,1
2,[instance: <*> VM <*> (Lifecycle Event),985
3,"While synchronizing instance power states, found 1 instances in the database and 0 instances on the hypervisor.",4
4,[instance: 3edec1e4-9678-4a3a-a21b-a145a4ee5e61] <*> <*> <*> instance <*>,6
5,image 0673dd71-34c5-4fbb-86c4-40623fbe45b4 at (/var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742): checking,766
6,"image 0673dd71-34c5-4fbb-86c4-40623fbe45b4 at (/var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742): in use: on this node 1 local, 0 on other nodes sharing this instance storage",766
7,<*> base <*> /var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742,1502
8,Creating event <*> for instance <*>,196
9,[instance: 3edec1e4-9678-4a3a-a21b-a145a4ee5e61] Instance <*> successfully.,2
10,[instance: 3edec1e4-9678-4a3a-a21b-a145a4ee5e61] Took <*> seconds to <*>,3
11,"10.11.10.1 <*> <*> HTTP/1.1"" status: <*> len: <*> time: <*>",7452
12,"<*> ""GET /openstack/2013-10-17/user_data HTTP/1.1"" status: 404 len: 176 time: <*>",173
13,[instance: 3edec1e4-9678-4a3a-a21b-a145a4ee5e61] Deletion of /var/lib/nova/instances/3edec1e4-9678-4a3a-a21b-a145a4ee5e61_del complete,1
14,HTTP exception thrown: No instances found for any event,196
15,"[instance: <*> Attempting claim: memory 2048 MB, disk 20 GB, vcpus 1 CPU",196
16,[instance: 3416d0fa-6f0f-41ce-9c0a-59ae9a735da8] <*>,8
17,"[instance: <*> memory limit: 96258.00 MB, free: 95746.00 MB",196
18,[instance: 3416d0fa-6f0f-41ce-9c0a-59ae9a735da8] Total <*> <*> <*> used: 0.00 <*>,2
19,"[instance: <*> <*> limit not specified, defaulting to unlimited",392
20,Auditing locally available compute resources for node cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us,135
21,"Total usable vcpus: 16, total allocated vcpus: <*>",135
22,Final resource view: name=cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us phys_ram=64172MB <*> phys_disk=15GB <*> total_vcpus=16 <*> pci_stats=[],135
