EventId,EventTemplate,Occurrences
0,"<*> <*> <*> HTTP/1.1"" status: 200 len: <*> time: <*>",5176
1,[instance: b9000564-fe1a-409b-b8cc-1e88b294cd1d] VM <*> (Lifecycle Event),5
2,[instance: b9000564-fe1a-409b-b8cc-1e88b294cd1d] <*> <*> <*> instance <*>,5
3,image 0673dd71-34c5-4fbb-86c4-40623fbe45b4 at (/var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742): checking,2149
4,"image 0673dd71-34c5-4fbb-86c4-40623fbe45b4 at (/var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742): in use: on this node 1 local, 0 on other nodes sharing this instance storage",2149
5,<*> base <*> /var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742,4379
6,Creating event <*> for instance <*>,556
7,[instance: b9000564-fe1a-409b-b8cc-1e88b294cd1d] Instance <*> successfully.,2
8,[instance: b9000564-fe1a-409b-b8cc-1e88b294cd1d] Took <*> seconds to <*>,3
9,Auditing locally available compute resources for node cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us,378
10,"Total usable vcpus: 16, total allocated vcpus: <*>",378
11,Final resource view: name=cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us phys_ram=64172MB <*> phys_disk=15GB <*> total_vcpus=16 <*> pci_stats=[],378
12,Compute_service record updated for cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us:cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us,378
13,"10.11.10.1 <*> <*> HTTP/1.1"" status: <*> len: <*> time: <*>",20932
14,"<*> ""GET /openstack/2013-10-17/user_data HTTP/1.1"" status: 404 len: 176 time: <*>",516
15,[instance: b9000564-fe1a-409b-b8cc-1e88b294cd1d] Deletion of /var/lib/nova/instances/b9000564-fe1a-409b-b8cc-1e88b294cd1d_del complete,1
16,HTTP exception thrown: No instances found for any event,556
17,"[instance: <*> Attempting claim: memory 2048 MB, disk 20 GB, vcpus 1 CPU",556
18,[instance: 96abccce-8d1f-4e07-b6d1-4b2ab87e23b4] <*>,13
19,"[instance: <*> memory limit: 96258.00 MB, free: 95746.00 MB",556
20,[instance: 96abccce-8d1f-4e07-b6d1-4b2ab87e23b4] Total <*> <*> <*> used: 0.00 <*>,2
21,"[instance: <*> <*> limit not specified, defaulting to unlimited",1112
22,[instance: <*> During sync_power_state the instance has a pending task <*> Skip.,1075
23,[instance: 96abccce-8d1f-4e07-b6d1-4b2ab87e23b4] Took <*> seconds to <*>,4
24,Successfully synced instances from host 'cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us'.,80
25,Running instance usage audit for host cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us from 2017-05-16 <*> to 2017-05-16 <*> <*> instances.,7
26,[instance: b562ef10-ba2d-48ae-bf4a-18666cba4a51] <*>,13
27,[instance: b562ef10-ba2d-48ae-bf4a-18666cba4a51] Total <*> <*> <*> used: 0.00 <*>,2
28,[instance: b562ef10-ba2d-48ae-bf4a-18666cba4a51] Took <*> seconds to <*>,4
29,Base or swap file too young to remove: /var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742,283
30,[instance: 78dc1847-8848-49cc-933e-9239b12c9dcf] <*>,13
31,[instance: 78dc1847-8848-49cc-933e-9239b12c9dcf] Total <*> <*> <*> used: 0.00 <*>,2
32,[instance: 78dc1847-8848-49cc-933e-9239b12c9dcf] Took <*> seconds to <*>,4
33,[instance: 95960536-049b-41f6-9049-05fc479b6a7c] <*>,13
34,[instance: 95960536-049b-41f6-9049-05fc479b6a7c] Total <*> <*> <*> used: 0.00 <*>,2
35,[instance: 95960536-049b-41f6-9049-05fc479b6a7c] Took <*> seconds to <*>,4
36,[instance: 7e7cc42f-3cb9-4d91-804c-f5a32d54f1c5] <*>,13
37,[instance: 7e7cc42f-3cb9-4d91-804c-f5a32d54f1c5] Total <*> <*> <*> used: 0.00 <*>,2
38,[instance: 7e7cc42f-3cb9-4d91-804c-f5a32d54f1c5] Took <*> seconds to <*>,4
39,[instance: af5f7392-f7d4-4298-b647-c98924c64aa1] <*>,13
40,[instance: af5f7392-f7d4-4298-b647-c98924c64aa1] Total <*> <*> <*> used: 0.00 <*>,2
41,[instance: af5f7392-f7d4-4298-b647-c98924c64aa1] Took <*> seconds to <*>,4
42,[instance: ae3a1b5d-eec1-45bb-b76a-c59d83b1471f] <*>,13
43,[instance: ae3a1b5d-eec1-45bb-b76a-c59d83b1471f] Total <*> <*> <*> used: 0.00 <*>,2
44,The instance sync for host 'cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us' did not match. Re-created its InstanceList.,109
45,[instance: ae3a1b5d-eec1-45bb-b76a-c59d83b1471f] Took <*> seconds to <*>,4
46,[instance: 43204226-2f87-4da7-b7ee-4d20cc66e846] <*>,13
47,[instance: 43204226-2f87-4da7-b7ee-4d20cc66e846] Total <*> <*> <*> used: 0.00 <*>,2
48,[instance: 43204226-2f87-4da7-b7ee-4d20cc66e846] Took <*> seconds to <*>,4
49,[instance: fecdd5a9-3ca0-4c82-9336-63b7774f738e] <*>,13
50,[instance: fecdd5a9-3ca0-4c82-9336-63b7774f738e] Total <*> <*> <*> used: 0.00 <*>,2
51,[instance: fecdd5a9-3ca0-4c82-9336-63b7774f738e] Took <*> seconds to <*>,4
52,[instance: 63a0d960-70b6-44c6-b606-491478a5cadf] <*>,13
53,[instance: 63a0d960-70b6-44c6-b606-491478a5cadf] Total <*> <*> <*> used: 0.00 <*>,2
54,[instance: 63a0d960-70b6-44c6-b606-491478a5cadf] Took <*> seconds to <*>,4
55,[instance: d54b44eb-2d1a-4aa2-ba6b-074d35f8f12c] <*>,13
56,[instance: d54b44eb-2d1a-4aa2-ba6b-074d35f8f12c] Total <*> <*> <*> used: 0.00 <*>,2
57,[instance: d54b44eb-2d1a-4aa2-ba6b-074d35f8f12c] Took <*> seconds to <*>,4
58,[instance: 17288ea8-cbf4-4f0e-94fe-853fd2735f29] <*>,13
59,[instance: 17288ea8-cbf4-4f0e-94fe-853fd2735f29] Total <*> <*> <*> used: 0.00 <*>,2
60,[instance: 17288ea8-cbf4-4f0e-94fe-853fd2735f29] Took <*> seconds to <*>,4
61,[instance: 70c1714b-c11b-4c88-b300-239afe1f5ff8] <*>,13
